Age,MonthlyIncome,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
41,5993,Yes,Travel_Rarely,1102,Sales,1,2,Life Sciences,1,1,2,Female,94,3,2,Sales Executive,4,Single,19479,8,Y,Yes,11,3,1,80,0,8,0,1,6,4,0,5
49,,No,Travel_Frequently,279,Research & Development,8,1,Life Sciences,1,2,3,Male,61,2,2,Research Scientist,2,Married,24907,1,Y,No,23,4,4,80,1,10,3,3,10,7,1,7
37,2090,Yes,Travel_Rarely,1373,Research & Development,2,2,Other,1,4,4,Male,92,2,1,Laboratory Technician,3,Single,2396,6,Y,Yes,15,3,2,80,0,7,3,3,0,0,0,0
33,2909,No,Travel_Frequently,1392,Research & Development,3,4,Life Sciences,1,5,4,Female,56,3,1,Research Scientist,3,Married,23159,1,Y,Yes,11,3,3,80,0,8,3,3,8,7,3,0
27,3468,No,Travel_Rarely,591,Research & Development,2,1,Medical,1,7,1,Male,40,3,1,Laboratory Technician,2,Married,16632,9,Y,No,12,3,4,80,1,6,3,3,2,2,2,2
32,3068,No,Travel_Frequently,1005,Research & Development,2,2,Life Sciences,1,8,4,Male,79,3,1,Laboratory Technician,4,Single,11864,0,Y,No,13,3,3,80,0,8,2,2,7,7,3,6
59,,No,Travel_Rarely,1324,Research & Development,3,3,,1,,3,,81,4,1,,1,Married,9964,4,Y,Yes,,,1,80,3,12,3,2,1,0,0,0
30,2693,No,Travel_Rarely,1358,,24,1,Life Sciences,1,11,4,Male,67,3,1,Laboratory Technician,3,Divorced,13335,1,Y,No,22,4,2,80,1,1,2,3,1,0,0,0
38,9526,No,Travel_Frequently,216,Research & Development,23,3,Life Sciences,1,12,4,Male,44,2,3,Manufacturing Director,3,Single,8787,0,Y,No,21,4,2,80,0,10,2,3,9,7,1,8
36,5237,No,Travel_Rarely,1299,Research & Development,27,3,Medical,1,13,3,Male,94,3,2,Healthcare Representative,3,Married,16577,6,Y,No,13,3,2,80,2,17,3,2,7,7,7,7
35,2426,No,Travel_Rarely,809,Research & Development,16,3,Medical,1,14,1,Male,84,4,1,Laboratory Technician,2,Married,16479,0,Y,No,13,3,3,80,1,6,5,3,5,4,0,3
29,4193,No,Travel_Rarely,153,Research & Development,15,2,Life Sciences,1,15,4,Female,49,2,2,Laboratory Technician,3,Single,12682,0,Y,Yes,12,3,4,80,0,10,3,3,9,5,0,8
31,2911,No,Travel_Rarely,670,Research & Development,26,1,Life Sciences,1,16,1,Male,31,3,1,Research Scientist,3,Divorced,15170,1,Y,No,17,3,4,80,1,5,1,2,5,2,4,3
34,2661,No,Travel_Rarely,1346,Research & Development,19,2,Medical,1,18,2,Male,93,3,1,Laboratory Technician,4,Divorced,8758,0,Y,No,11,3,3,80,1,3,2,3,2,2,1,2
28,2028,Yes,Travel_Rarely,103,Research & Development,24,3,Life Sciences,1,19,3,Male,50,2,1,Laboratory Technician,3,Single,12947,5,Y,Yes,14,3,2,80,0,6,4,3,4,2,0,3
29,9980,No,Travel_Rarely,1389,Research & Development,21,4,Life Sciences,1,20,2,Female,51,4,3,Manufacturing Director,1,Divorced,10195,1,Y,No,11,3,3,80,1,10,1,3,10,9,8,8
32,3298,No,Travel_Rarely,334,Research & Development,5,2,Life Sciences,1,21,1,Male,80,4,1,Research Scientist,2,Divorced,15053,0,Y,Yes,12,3,4,80,2,7,5,2,6,2,0,5
22,2935,No,Non-Travel,1123,Research & Development,16,2,Medical,1,22,4,Male,96,4,1,Laboratory Technician,4,,7324,1,Y,Yes,13,3,2,80,2,1,2,2,1,0,0,0
53,15427,No,Travel_Rarely,1219,Sales,2,4,Life Sciences,1,23,1,Female,78,2,4,Manager,4,Married,22021,2,Y,No,16,3,3,80,0,31,3,3,25,8,3,7
38,3944,No,Travel_Rarely,371,Research & Development,2,3,Life Sciences,1,24,4,Male,45,3,1,Research Scientist,4,Single,4306,5,Y,Yes,11,3,3,80,0,6,3,3,3,2,1,2
24,4011,No,Non-Travel,673,Research & Development,11,2,Other,1,26,1,Female,96,4,2,Manufacturing Director,3,Divorced,8232,0,Y,No,18,3,4,80,1,5,5,2,4,2,1,3
36,3407,Yes,Travel_Rarely,1218,Sales,9,4,Life Sciences,1,27,3,Male,82,2,1,Sales Representative,1,Single,6986,7,Y,No,23,4,2,80,0,10,4,3,5,3,0,3
34,11994,No,Travel_Rarely,419,Research & Development,7,4,Life Sciences,1,28,1,Female,53,3,3,Research Director,2,Single,21293,0,Y,No,11,3,3,80,0,13,4,3,12,6,2,11
21,1232,No,Travel_Rarely,391,Research & Development,15,2,Life Sciences,1,30,3,Male,96,3,1,Research Scientist,4,Single,,1,Y,No,14,3,4,80,0,0,6,3,0,0,0,0
34,2960,Yes,Travel_Rarely,699,Research & Development,6,1,Medical,1,31,2,Male,83,3,1,Research Scientist,1,Single,17102,2,Y,No,11,3,3,80,0,8,2,3,4,2,1,3
53,19094,No,Travel_Rarely,1282,Research & Development,5,3,Other,1,32,3,Female,58,3,5,Manager,3,Divorced,10735,4,Y,No,11,3,4,80,1,26,3,2,14,13,4,8
32,3919,Yes,Travel_Frequently,1125,Research & Development,16,1,Life Sciences,1,33,2,Female,72,1,1,Research Scientist,1,Single,4681,1,Y,Yes,22,4,2,80,0,10,5,3,10,2,6,7
42,6825,No,Travel_Rarely,691,Sales,8,4,Marketing,1,35,3,Male,48,3,2,Sales Executive,2,Married,21173,0,Y,No,11,3,4,80,1,10,2,3,9,7,4,2
44,10248,No,Travel_Rarely,477,Research & Development,7,4,Medical,1,36,1,Female,42,2,3,Healthcare Representative,4,Married,2094,3,Y,No,14,3,4,80,1,24,4,3,22,6,5,17
46,18947,No,Travel_Rarely,705,Sales,2,4,Marketing,1,38,2,Female,83,3,5,Manager,1,Single,22822,3,Y,No,12,3,4,80,0,22,2,2,2,2,2,1
33,2496,No,Travel_Rarely,924,Research & Development,2,3,Medical,1,39,3,Male,78,3,1,Laboratory Technician,4,Single,6670,4,Y,No,11,3,4,80,0,7,3,3,1,1,0,0
44,6465,No,Travel_Rarely,1459,Research & Development,10,4,Other,1,40,4,Male,41,3,2,Healthcare Representative,4,Married,19121,2,Y,Yes,13,3,4,80,0,9,5,4,4,2,1,3
30,2206,No,Travel_Rarely,125,Research & Development,9,2,Medical,1,41,4,Male,83,2,1,Laboratory Technician,3,Single,16117,1,Y,No,13,3,1,80,0,10,5,3,10,0,1,8
39,2086,Yes,Travel_Rarely,895,Sales,5,3,Technical Degree,1,42,4,Male,56,3,2,Sales Representative,4,Married,3335,3,Y,No,14,3,3,80,1,19,6,4,1,0,0,0
24,2293,Yes,Travel_Rarely,813,Research & Development,1,3,Medical,1,45,2,Male,61,3,1,Research Scientist,4,Married,3020,2,Y,Yes,16,3,1,80,1,6,2,2,2,0,2,0
43,2645,No,Travel_Rarely,1273,Research & Development,2,2,Medical,1,46,4,Female,72,4,1,Research Scientist,3,Divorced,21923,1,Y,No,12,3,4,80,2,6,3,2,5,3,1,4
50,2683,Yes,Travel_Rarely,869,Sales,3,2,Marketing,1,47,1,Male,86,2,1,Sales Representative,3,Married,3810,1,Y,Yes,14,3,3,80,0,3,2,3,3,2,0,2
35,2014,No,Travel_Rarely,890,Sales,2,3,Marketing,1,49,4,Female,97,3,1,Sales Representative,4,Married,9687,1,Y,No,13,3,1,80,0,2,3,3,2,2,2,2
36,3419,No,Travel_Rarely,852,Research & Development,5,4,Life Sciences,1,51,2,Female,82,2,1,Research Scientist,1,Married,13072,9,Y,Yes,14,3,4,80,1,6,3,4,1,1,0,0
33,5376,No,Travel_Frequently,1141,Sales,1,3,Life Sciences,1,52,3,Female,42,4,2,Sales Executive,1,Married,3193,2,Y,No,19,3,1,80,2,10,3,3,5,3,1,3
